100 0 100
129.705 0 129.705
148.641 0 148.641
146.513 0 146.513
246.6 0 246.6
177.098 0 177.098
241.72 0 241.72
1401.75 0 1401.75
219.028 0 219.028
247.035 0 247.035
318.93 0 318.93
1786.4 0 1786.4
11015.4 0 11015.4
874.975 0 874.975
1328.16 0 1328.16
1835.26 0 1835.26
1835.26 0 1835.26
1314.61 0 1314.61
875.408 0 875.408
458.984 0 458.984
1314.61 0 1314.61
631.198 0 631.198
328.654 0 328.654
1314.61 0 1314.61
472.843 0 472.843
1186.97 0 1186.97
1186.97 0 1186.97
1186.97 0 1186.97
222.205 0 222.205
203.136 0 203.136
812.546 0 812.546
14560.1 0 14560.1
1536.85 0 1536.85
1935.05 0 1935.05
225.091 0 225.091
1612.46 0 1612.46
1472.68 0 1472.68
1264.11 0 1264.11
1835.26 0 1835.26
430.543 0 430.543
662.648 0 662.648
184.058 0 184.058
497.3 0 497.3
288.111 0 288.111
347.354 0 347.354
1786.4 0 1786.4
1786.4 0 1786.4
11624.3 0 11624.3
1647.51 0 1647.51
544.236 0 544.236
238.837 0 238.837
772.098 0 772.098
227.934 0 227.934
1612.46 0 1612.46
15352.2 0 15352.2
12897 0 12897
876.112 0 876.112
296.851 0 296.851
411.878 0 411.878
1647.51 0 1647.51
334.442 0 334.442
203.074 0 203.074
424.151 0 424.151
196.802 0 196.802
310.045 0 310.045
151.248 0 151.248
955.265 0 955.265
336.288 0 336.288
429.194 0 429.194
212.225 0 212.225
410.764 0 410.764
935.84 0 935.84
339.91 0 339.91
1616.2 0 1616.2
1280.7 0 1280.7
1816.5 0 1816.5
1816.5 0 1816.5
379.066 0 379.066
879.219 0 879.219
286.414 0 286.414
286.414 0 286.414
652.601 0 652.601
234.841 0 234.841
906.409 0 906.409
223.067 0 223.067
343.598 0 343.598
1835.93 0 1835.93
940.6 0 940.6
556.299 0 556.299
188.981 0 188.981
940.6 0 940.6
1421.34 0 1421.34
358.763 0 358.763
265.92 0 265.92
339.865 0 339.865
195.014 0 195.014
